 ix          r[AU] il       lam[mic]       tau_vert
 15  5.7386789E-02 17  2.5964377E+01  9.5186901E+01  dust
 15  5.7386789E-02 18  4.2233750E+01  6.9481171E+01  dust
 15  5.7386789E-02 19  8.6443439E+01  4.6744635E+01  dust
 15  5.7386789E-02 20  1.7710287E+02  3.1645258E+01  dust
 15  5.7386789E-02 21  3.6308087E+02  2.1304026E+01  dust
 15  5.7386789E-02 22  7.4469677E+02  1.4146165E+01  dust
 15  5.7386789E-02 23  1.5279094E+03  9.1356966E+00  dust
 15  5.7386789E-02 24  3.1355912E+03  5.6005721E+00  dust
 15  5.7386789E-02 25  6.4360319E+03  2.9917131E+00  dust
 16  5.8357309E-02  1  9.5842289E-02  1.0563900E+03  dust
 16  5.8357309E-02  2  1.0573550E-01  1.0368043E+03  dust
 16  5.8357309E-02  3  1.1812006E-01  1.0132841E+03  dust
 16  5.8357309E-02  4  1.3353968E-01  9.8749534E+02  dust
 16  5.8357309E-02  5  1.5097181E-01  9.5904587E+02  dust
 16  5.8357309E-02  6  1.7067955E-01  9.1707645E+02  dust
 16  5.8357309E-02  7  1.9296000E-01  8.6980532E+02  dust
 16  5.8357309E-02  8  3.0195156E-01  7.6691611E+02  dust
 16  5.8357309E-02  9  5.8874250E-01  6.1402360E+02  dust
 16  5.8357309E-02 10  1.2118621E+00  4.4870738E+02  dust
 16  5.8357309E-02 11  2.3303096E+00  3.1555191E+02  dust
 16  5.8357309E-02 12  4.3003104E+00  2.4388257E+02  dust
 16  5.8357309E-02 13  6.2450423E+00  1.9426715E+02  dust
 16  5.8357309E-02 14  8.8527200E+00  2.1035194E+02  dust
 16  5.8357309E-02 15  1.2668311E+01  1.8538115E+02  dust
 16  5.8357309E-02 16  1.8134220E+01  1.8165517E+02  dust
 16  5.8357309E-02 17  2.5964377E+01  1.6749602E+02  dust
 16  5.8357309E-02 18  4.2233750E+01  1.2224616E+02  dust
 16  5.8357309E-02 19  8.6443439E+01  8.2230321E+01  dust
 16  5.8357309E-02 20  1.7710287E+02  5.5662058E+01  dust
 16  5.8357309E-02 21  3.6308087E+02  3.7470506E+01  dust
